date,rating,text,author,source
2025-08-02,5,Proper matchday pub. Terrace buzz before kick-off is unbeatable and the pint was cold.,Pat T.,Google
2025-08-17,4,Staff remembered our usual — small thing but nice on a busy night.,Jordan P.,Google
2025-08-19,3,Queue for the bar snaked round the corner pre-match. Worth it? Borderline.,Riley K.,Google
2025-08-23,5,Proper matchday pub. Terrace buzz before kick-off is unbeatable and the pint was cold. Heaving by 2pm.,Alex N.,TripAdvisor
2025-08-30,5,Proper matchday pub. Terrace buzz before kick-off is unbeatable and the pint was cold. Screens on every wall.,Pat T.,Google
2025-09-07,4,Good vibe on the terrace. Staff kept the bar moving despite the rush.,Taylor N.,Google
2025-09-20,4,"Solid lager, fair prices for a matchday. Gets packed an hour before kick-off.",Taylor P.,Google
2025-09-23,4,TVs show the early kick-offs. Pie and chips hit the spot.,Sam R.,Google
2025-09-29,3,Beer garden packed in summer. Inside was cooler but cramped. Away fans in the back — all calm.,Jordan W.,Google
2025-10-04,3,Food took a while on a busy Saturday. Beer was fine.,Jamie K.,TripAdvisor
2025-10-09,5,Best pre-match spot near the ground. Queue moves fast once the doors open. Away fans in the back — all calm.,Pat S.,Google
2025-10-11,5,My go-to before home games. Atmosphere and pint never disappoint.,Alex K.,Google
2025-10-16,2,Kitchen was slow and the pie was lukewarm. Atmosphere saved it slightly. Pricey but expected on matchday.,Jordan K.,Google
2025-10-18,3,Food took a while on a busy Saturday. Beer was fine. Away fans in the back — all calm.,Jamie R.,Google
2025-10-20,3,Vibe is great but the wait for food killed the flow before kick-off.,Alex B.,TripAdvisor
2025-10-24,4,Screens everywhere for the 12:30 game. Matchday crowd knows the drill.,Taylor H.,Google
2025-10-30,2,Long wait at the bar post-match. Service struggled when it got rammed. Away fans in the back — all calm.,Sam N.,Google
2025-11-02,5,Singing in the bar after we won — best part of the day.,Pat T.,Google
2025-11-03,5,"Atmosphere on a Saturday is electric — singing, scarves, everyone in good spirits. Pint pulled well.",Sam N.,Google
2025-11-08,4,"Pre-match ritual: one pint here, then march to the ground. Never change it.",Morgan P.,Google
2025-11-15,3,Beer garden packed in summer. Inside was cooler but cramped.,Morgan N.,Google
2025-11-18,3,"Busy and loud — great if you want buzz, less so if you want a quiet pint.",Casey R.,TripAdvisor
2025-11-23,4,Kids menu exists but it is still very much a matchday pub. Loud and fun.,Taylor W.,Google
2025-11-26,4,"Away end lot in good numbers, no trouble. Pub handled the crowd well.",Jamie N.,Google
